sub,prediction via,number of runs,Pearson's r
sub-20,movie,7,0.06119127069177538
sub-01,movie,8,0.6212153687698436
sub-02,movie,8,0.21434885114103314
sub-03,movie,8,0.5219237526052509
sub-04,movie,8,0.6726488448118662
sub-05,movie,8,0.021426988722069894
sub-06,movie,8,0.6277881442420499
sub-09,movie,8,0.5587470332526197
sub-14,movie,8,0.7305237170663266
sub-15,movie,8,0.7153779776920878
sub-16,movie,8,0.6527066900582209
sub-17,movie,8,0.715979892176272
sub-18,movie,8,0.6352061305958974
sub-19,movie,8,0.664851507603661
sub-20,movie,8,0.07577641106930584
sub-01,visual localizer,1,0.41646520193318676
sub-02,visual localizer,1,0.2849013526725877
sub-03,visual localizer,1,0.42709906740104175
sub-04,visual localizer,1,0.42187801517002604
sub-05,visual localizer,1,0.04570346783543843
sub-06,visual localizer,1,0.5943827426530378
sub-09,visual localizer,1,0.49350984655457014
sub-14,visual localizer,1,0.5718051980605838
sub-15,visual localizer,1,0.6828128964498685
sub-16,visual localizer,1,0.4601808764241852
sub-17,visual localizer,1,0.6446871857240329
sub-18,visual localizer,1,0.5259307144966044
sub-19,visual localizer,1,0.553042949057877
sub-20,visual localizer,1,0.29542238135492455
sub-01,visual localizer,2,0.46699652391253804
sub-02,visual localizer,2,0.24657825691634308
sub-03,visual localizer,2,0.37505546257524314
sub-04,visual localizer,2,0.578963892581317
sub-05,visual localizer,2,0.07504052512394863
sub-06,visual localizer,2,0.5675334140933235
sub-09,visual localizer,2,0.47288968115566543
sub-14,visual localizer,2,0.5600269459258186
sub-15,visual localizer,2,0.6970072092896737
sub-16,visual localizer,2,0.4964370754344802
sub-17,visual localizer,2,0.6689769102953848
sub-18,visual localizer,2,0.5155891750524817
sub-19,visual localizer,2,0.5525063431387393
sub-20,visual localizer,2,0.21386171108604893
sub-01,visual localizer,3,0.45125442083976414
sub-02,visual localizer,3,0.26876256180652275
sub-03,visual localizer,3,0.4216322694207025
sub-04,visual localizer,3,0.577044854200094
sub-05,visual localizer,3,0.06384729323874666
sub-06,visual localizer,3,0.5480124372833614
sub-09,visual localizer,3,0.464732955679641
sub-14,visual localizer,3,0.6032385083205941
sub-15,visual localizer,3,0.6971958192186566
sub-16,visual localizer,3,0.4858941547837928
sub-17,visual localizer,3,0.6790260865651913
sub-18,visual localizer,3,0.5510376596618348
sub-19,visual localizer,3,0.5414235785135078
sub-20,visual localizer,3,0.2391678061494024
sub-01,visual localizer,4,0.49063520621325196
sub-02,visual localizer,4,0.2607148222040243
sub-03,visual localizer,4,0.44598481159817693
sub-04,visual localizer,4,0.6017316174616184
sub-05,visual localizer,4,0.05079784079159259
sub-06,visual localizer,4,0.5283874752148685
sub-09,visual localizer,4,0.47879066842231205
sub-14,visual localizer,4,0.5446152345689885
sub-15,visual localizer,4,0.7126302770755588
sub-16,visual localizer,4,0.5321982870230094
sub-17,visual localizer,4,0.6694775914159703
sub-18,visual localizer,4,0.555865592826185
sub-19,visual localizer,4,0.5922448184816593
sub-20,visual localizer,4,0.24360118780254078
sub-01,anatomical alignment,0,0.6694600163577739
sub-02,anatomical alignment,0,0.15435815606100775
sub-03,anatomical alignment,0,0.5853201464848047
sub-04,anatomical alignment,0,0.7099349674338025
sub-05,anatomical alignment,0,0.011646024737664564
sub-06,anatomical alignment,0,0.6165220314047846
sub-09,anatomical alignment,0,0.6198588056795699
sub-14,anatomical alignment,0,0.7602674206254644
sub-15,anatomical alignment,0,0.7324807906936572
sub-16,anatomical alignment,0,0.57180041844002
sub-17,anatomical alignment,0,0.6884791798516057
sub-18,anatomical alignment,0,0.7127683109303673
sub-19,anatomical alignment,0,0.6524023537300185
sub-20,anatomical alignment,0,0.010161457497337156
