sub,prediction via,number of runs,Pearson's r
sub-18,audio-description,8,0.537537321928721
sub-19,audio-description,8,0.2870393366439093
sub-20,audio-description,8,0.3892858534000488
sub-01,movie,1,0.7080259113745858
sub-02,movie,1,0.7347985609401823
sub-03,movie,1,0.7790331912837956
sub-04,movie,1,0.8019499795837572
sub-05,movie,1,0.5528542124981675
sub-06,movie,1,0.5569149298866608
sub-09,movie,1,0.741275572366596
sub-14,movie,1,0.45610773253179626
sub-15,movie,1,0.6683056243493501
sub-16,movie,1,0.6637644650775041
sub-17,movie,1,0.8359344702235412
sub-18,movie,1,0.6050151699774281
sub-19,movie,1,0.6958615031808522
sub-20,movie,1,0.5582947361696241
sub-01,movie,2,0.7914613278508216
sub-02,movie,2,0.7241473604996469
sub-03,movie,2,0.8019049165568797
sub-04,movie,2,0.8544261313070104
sub-05,movie,2,0.6593027042981905
sub-06,movie,2,0.6086176049750535
sub-09,movie,2,0.8245104119173199
sub-14,movie,2,0.5008490233635735
sub-15,movie,2,0.7174684166767551
sub-16,movie,2,0.681184792732584
sub-17,movie,2,0.8464767955902318
sub-18,movie,2,0.6315234084511725
sub-19,movie,2,0.6925626019227715
sub-20,movie,2,0.5478301489138457
sub-01,movie,3,0.7816923993456619
sub-02,movie,3,0.7748180623234064
sub-03,movie,3,0.8245783182165872
sub-04,movie,3,0.8645995034196396
sub-05,movie,3,0.7113436152816106
sub-06,movie,3,0.6002382510985164
sub-09,movie,3,0.8306640502821626
sub-14,movie,3,0.4889396618313094
sub-15,movie,3,0.7560858090121527
sub-16,movie,3,0.6819219675893377
sub-17,movie,3,0.8477533364216867
sub-18,movie,3,0.6386336029844895
sub-19,movie,3,0.7304262656498419
sub-20,movie,3,0.541668258861504
sub-01,movie,4,0.7933701253997729
sub-02,movie,4,0.7705787330309621
sub-03,movie,4,0.8298289116800399
sub-04,movie,4,0.8630623728776988
sub-05,movie,4,0.7385870806728778
sub-06,movie,4,0.6277147446774372
sub-09,movie,4,0.8253698446754959
sub-14,movie,4,0.4976886395398935
sub-15,movie,4,0.799471096269457
sub-16,movie,4,0.6870180686387242
sub-17,movie,4,0.8413348653375059
sub-18,movie,4,0.6189183384758028
sub-19,movie,4,0.729675108440223
sub-20,movie,4,0.5571245950673022
sub-01,movie,5,0.7928591521719384
sub-02,movie,5,0.7638814647121733
sub-03,movie,5,0.839657668876438
sub-04,movie,5,0.862345063732281
sub-05,movie,5,0.7199734136684628
sub-06,movie,5,0.6327492725319996
sub-09,movie,5,0.8281323397903704
sub-14,movie,5,0.554518313582506
sub-15,movie,5,0.7922382378711305
sub-16,movie,5,0.7085498688091564
sub-17,movie,5,0.8371165267592676
sub-18,movie,5,0.628133865773665
sub-19,movie,5,0.7280547931572257
sub-20,movie,5,0.5810192907963105
sub-01,movie,6,0.7969411939143589
sub-02,movie,6,0.7801810306903033
