sub,prediction via,number of runs,Pearson's r
sub-19,movie,4,0.8439811019830098
sub-20,movie,4,0.6841080893258142
sub-01,movie,5,0.7248302673405465
sub-02,movie,5,0.805335969639961
sub-03,movie,5,0.7539706800782373
sub-04,movie,5,0.820871406671361
sub-05,movie,5,0.7684877758096422
sub-06,movie,5,0.7689363996068758
sub-09,movie,5,0.7448744223501846
sub-14,movie,5,0.8123452971640058
sub-15,movie,5,0.8043277305246099
sub-16,movie,5,0.7589487005768715
sub-17,movie,5,0.8052472551908257
sub-18,movie,5,0.6956126347285018
sub-19,movie,5,0.8405960251608472
sub-20,movie,5,0.7081688757226177
sub-01,movie,6,0.7258349649538702
sub-02,movie,6,0.8037828352562699
sub-03,movie,6,0.7541557572808019
sub-04,movie,6,0.8123964138248214
sub-05,movie,6,0.7751822681545635
sub-06,movie,6,0.7756484101109219
sub-09,movie,6,0.7532482058883785
sub-14,movie,6,0.7871487131486565
sub-15,movie,6,0.7934603927067189
sub-16,movie,6,0.7676460677331843
sub-17,movie,6,0.821946067564289
sub-18,movie,6,0.7001052462638448
sub-19,movie,6,0.8448946079825541
sub-20,movie,6,0.7423202921488965
sub-01,movie,7,0.7138370019479844
sub-02,movie,7,0.8049124216529688
sub-03,movie,7,0.755120033010308
sub-04,movie,7,0.8109593628440995
sub-05,movie,7,0.7866689159737698
sub-06,movie,7,0.774079319430979
sub-09,movie,7,0.762014580627711
sub-14,movie,7,0.7618090871321951
sub-15,movie,7,0.7761396870332172
sub-16,movie,7,0.768591996681623
sub-17,movie,7,0.8313790212871006
sub-18,movie,7,0.7055411675470815
sub-19,movie,7,0.8507259997947759
sub-20,movie,7,0.7338075155064436
sub-01,movie,8,0.7158578656173771
sub-02,movie,8,0.8044119915078856
sub-03,movie,8,0.7584381658294554
sub-04,movie,8,0.811658848487786
sub-05,movie,8,0.783309589850517
sub-06,movie,8,0.7833054681834039
sub-09,movie,8,0.7707787915399726
sub-14,movie,8,0.767985447266606
sub-15,movie,8,0.7762293301673114
sub-16,movie,8,0.7756428708658409
sub-17,movie,8,0.8374016127176517
sub-18,movie,8,0.7095691249182453
sub-19,movie,8,0.8472701908016339
sub-20,movie,8,0.7309928593587893
sub-01,visual localizer,1,0.8069901028062606
sub-02,visual localizer,1,0.799334760722507
sub-03,visual localizer,1,0.8658293648321441
sub-04,visual localizer,1,0.8100625586959659
sub-05,visual localizer,1,0.8073785025474316
sub-06,visual localizer,1,0.780197376734724
sub-09,visual localizer,1,0.7701833126171161
sub-14,visual localizer,1,0.8323068190502839
sub-15,visual localizer,1,0.7574439697558999
sub-16,visual localizer,1,0.8232711663919365
sub-17,visual localizer,1,0.8256140228889052
sub-18,visual localizer,1,0.723502151224154
sub-19,visual localizer,1,0.7889201435536771
sub-20,visual localizer,1,0.6375708912414277
sub-01,visual localizer,2,0.8041561385796498
sub-02,visual localizer,2,0.8521471669042417
sub-03,visual localizer,2,0.8839396735483734
sub-04,visual localizer,2,0.9049458352732404
sub-05,visual localizer,2,0.8631948783698888
sub-06,visual localizer,2,0.8338280383747615
sub-09,visual localizer,2,0.8390242080265712
sub-14,visual localizer,2,0.8696481531144697
sub-15,visual localizer,2,0.8600613124921792
sub-16,visual localizer,2,0.8517463419192844
sub-17,visual localizer,2,0.8455065524068724
sub-18,visual localizer,2,0.7812255589956729
sub-19,visual localizer,2,0.8151972515833156
sub-20,visual localizer,2,0.7370190010460307
sub-01,visual localizer,3,0.8315361753807788
sub-02,visual localizer,3,0.8801585625094338
sub-03,visual localizer,3,0.8861311710470717
sub-04,visual localizer,3,0.8921933517745108
